Px,Py,Pz,E,t
0.817274,-0.597975,1.94676e-05,-4.44139e-10,0
0.827382,-0.58432,1.8674e-05,-4.4418e-10,1
0.83749,-0.570666,1.78803e-05,-4.43974e-10,2
0.847599,-0.557012,1.70867e-05,-4.43521e-10,3
0.857707,-0.543357,1.62931e-05,-4.42824e-10,4
0.867816,-0.529703,1.54995e-05,-4.41883e-10,5
0.877924,-0.516049,1.47059e-05,-4.40701e-10,6
0.888032,-0.502395,1.39123e-05,-4.3928e-10,7
0.898141,-0.48874,1.31186e-05,-4.37625e-10,8
0.908249,-0.475086,1.2325e-05,-4.35739e-10,9
0.918358,-0.461432,1.15314e-05,-4.33628e-10,10
0.928466,-0.447777,1.07378e-05,-4.31295e-10,11
0.938575,-0.434123,9.94419e-06,-4.28746e-10,12
0.948683,-0.420469,9.15057e-06,-4.25988e-10,13
0.958791,-0.406814,8.35696e-06,-4.23027e-10,14
0.9689,-0.39316,7.56334e-06,-4.19869e-10,15
0.979008,-0.379506,6.76973e-06,-4.16521e-10,16
0.989117,-0.365852,5.97611e-06,-4.1299e-10,17
0.999225,-0.352197,5.18249e-06,-4.09285e-10,18
1.00933,-0.338543,4.38888e-06,-4.05412e-10,19
1.01944,-0.324889,3.59526e-06,-4.01379e-10,20
1.02955,-0.311234,2.80165e-06,-3.97194e-10,21
1.03966,-0.29758,2.00803e-06,-3.92866e-10,22
1.04977,-0.283926,1.21442e-06,-3.88401e-10,23
1.05988,-0.270272,4.20801e-07,-3.83809e-10,24
1.06998,-0.256617,-3.72814e-07,-3.79096e-10,25
1.08009,-0.242963,-1.16643e-06,-3.74272e-10,26
1.0902,-0.229309,-1.96005e-06,-3.69343e-10,27
1.10031,-0.215654,-2.75366e-06,-3.64318e-10,28
1.11042,-0.202,-3.54728e-06,-3.59205e-10,29
1.12053,-0.188346,-4.34089e-06,-3.54009e-10,30
1.13063,-0.174691,-5.13451e-06,-3.4874e-10,31
1.14074,-0.161037,-5.92812e-06,-3.43404e-10,32
1.15085,-0.147383,-6.72174e-06,-3.38008e-10,33
1.16096,-0.133729,-7.51535e-06,-3.32558e-10,34
1.17107,-0.120074,-8.30897e-06,-3.27062e-10,35
1.18118,-0.10642,-9.10258e-06,-3.21524e-10,36
1.19128,-0.0927657,-9.8962e-06,-3.15953e-10,37
1.20139,-0.0791114,-1.06898e-05,-3.10352e-10,38
1.2115,-0.0654571,-1.14834e-05,-3.04728e-10,39
1.22161,-0.0518028,-1.2277e-05,-2.99087e-10,40
1.23172,-0.0381485,-1.30707e-05,-2.93432e-10,41
1.24183,-0.0244942,-1.38643e-05,-2.87769e-10,42
1.25193,-0.0108399,-1.46579e-05,-2.82103e-10,43
1.26204,0.00281443,-1.54515e-05,-2.76437e-10,44
1.27215,0.0164687,-1.62451e-05,-2.70776e-10,45
1.28226,0.030123,-1.70387e-05,-2.65124e-10,46
1.29237,0.0437773,-1.78324e-05,-2.59484e-10,47
1.30248,0.0574316,-1.8626e-05,-2.5386e-10,48
1.31259,0.0710859,-1.94196e-05,-2.48255e-10,49
1.32269,0.0847402,-2.02132e-05,-2.42672e-10,50
1.3328,0.0983945,-2.10068e-05,-2.37114e-10,51
1.34291,0.112049,-2.18004e-05,-2.31583e-10,52
1.35302,0.125703,-2.2594e-05,-2.26082e-10,53
1.36313,0.139357,-2.33877e-05,-2.20613e-10,54
1.37324,0.153012,-2.41813e-05,-2.15178e-10,55
1.38334,0.166666,-2.49749e-05,-2.0978e-10,56
1.39345,0.18032,-2.57685e-05,-2.04419e-10,57
1.40356,0.193975,-2.65621e-05,-1.99097e-10,58
1.41367,0.207629,-2.73557e-05,-1.93816e-10,59
1.42378,0.221283,-2.81494e-05,-1.88577e-10,60
1.43389,0.234937,-2.8943e-05,-1.83382e-10,61
1.44399,0.248592,-2.97366e-05,-1.78231e-10,62
1.4541,0.262246,-3.05302e-05,-1.73125e-10,63
1.46421,0.2759,-3.13238e-05,-1.68066e-10,64
1.47432,0.289555,-3.21174e-05,-1.63054e-10,65
1.48443,0.303209,-3.2911e-05,-1.58089e-10,66
1.49454,0.316863,-3.37047e-05,-1.53173e-10,67
1.50464,0.330518,-3.44983e-05,-1.48305e-10,68
1.51475,0.344172,-3.52919e-05,-1.43486e-10,69
1.52486,0.357826,-3.60855e-05,-1.38716e-10,70
1.53497,0.37148,-3.68791e-05,-1.33996e-10,71
1.54508,0.385135,-3.76727e-05,-1.29326e-10,72
1.55519,0.398789,-3.84664e-05,-1.24706e-10,73
1.56529,0.412443,-3.926e-05,-1.20136e-10,74
1.5754,0.426098,-4.00536e-05,-1.15616e-10,75
1.58551,0.439752,-4.08472e-05,-1.11146e-10,76
1.59562,0.453406,-4.16408e-05,-1.06725e-10,77
1.60573,0.467061,-4.24344e-05,-1.02354e-10,78
1.61584,0.480715,-4.3228e-05,-9.80333e-11,79
1.62595,0.494369,-4.40217e-05,-9.37615e-11,80
1.63605,0.508023,-4.48153e-05,-8.95388e-11,81
1.64616,0.521678,-4.56089e-05,-8.5365e-11,82
1.65627,0.535332,-4.64025e-05,-8.12398e-11,83
1.66638,0.548986,-4.71961e-05,-7.71627e-11,84
1.67649,0.562641,-4.79897e-05,-7.31336e-11,85
1.6866,0.576295,-4.87833e-05,-6.9152e-11,86
1.6967,0.589949,-4.9577e-05,-6.52175e-11,87
1.70681,0.603603,-5.03706e-05,-6.13297e-11,88
1.71692,0.617258,-5.11642e-05,-5.74883e-11,89
1.72703,0.630912,-5.19578e-05,-5.36927e-11,90
1.73714,0.644566,-5.27514e-05,-4.99425e-11,91
1.74725,0.658221,-5.3545e-05,-4.62374e-11,92
1.75735,0.671875,-5.43387e-05,-4.25767e-11,93
1.76746,0.685529,-5.51323e-05,-3.89601e-11,94
1.77757,0.699184,-5.59259e-05,-3.53871e-11,95
1.78768,0.712838,-5.67195e-05,-3.18571e-11,96
1.79779,0.726492,-5.75131e-05,-2.83697e-11,97
1.8079,0.740146,-5.83067e-05,-2.49243e-11,98
1.818,0.753801,-5.91003e-05,-2.15206e-11,99
1.82811,0.767455,-5.9894e-05,-1.81579e-11,100
1.83822,0.781109,-6.06876e-05,-1.48358e-11,101
1.84833,0.794764,-6.14812e-05,-1.15537e-11,102
1.85844,0.808418,-6.22748e-05,-8.31121e-12,103
1.86855,0.822072,-6.30684e-05,-5.10776e-12,104
1.87865,0.835726,-6.3862e-05,-1.94287e-12,105
1.88876,0.849381,-6.46557e-05,1.18398e-12,106
1.89887,0.863035,-6.54493e-05,4.27329e-12,107
1.90898,0.876689,-6.62429e-05,7.32556e-12,108
1.91909,0.890344,-6.70365e-05,1.03413e-11,109
