Px,Py,Pz,E,t
11.4686,-31.6064,0.0639245,-2.41374e-14,0
11.4717,-31.606,0.0630068,-2.41363e-14,1
11.4747,-31.6056,0.0620892,-2.41352e-14,2
11.4778,-31.6052,0.0611716,-2.41341e-14,3
11.4808,-31.6047,0.0602539,-2.4133e-14,4
11.4838,-31.6043,0.0593363,-2.41319e-14,5
11.4869,-31.6039,0.0584186,-2.41308e-14,6
11.4899,-31.6035,0.057501,-2.41297e-14,7
11.4929,-31.6031,0.0565833,-2.41286e-14,8
11.496,-31.6027,0.0556657,-2.41275e-14,9
11.499,-31.6022,0.054748,-2.41264e-14,10
11.502,-31.6018,0.0538304,-2.41253e-14,11
11.5051,-31.6014,0.0529127,-2.41242e-14,12
11.5081,-31.601,0.0519951,-2.41231e-14,13
11.5112,-31.6006,0.0510774,-2.4122e-14,14
11.5142,-31.6001,0.0501598,-2.41209e-14,15
11.5172,-31.5997,0.0492422,-2.41198e-14,16
11.5203,-31.5993,0.0483245,-2.41187e-14,17
11.5233,-31.5989,0.0474069,-2.41176e-14,18
11.5263,-31.5985,0.0464892,-2.41164e-14,19
11.5294,-31.5981,0.0455716,-2.41153e-14,20
11.5324,-31.5976,0.0446539,-2.41142e-14,21
11.5354,-31.5972,0.0437363,-2.41131e-14,22
11.5385,-31.5968,0.0428186,-2.4112e-14,23
11.5415,-31.5964,0.041901,-2.41109e-14,24
11.5446,-31.596,0.0409833,-2.41098e-14,25
11.5476,-31.5956,0.0400657,-2.41087e-14,26
11.5506,-31.5951,0.039148,-2.41076e-14,27
11.5537,-31.5947,0.0382304,-2.41064e-14,28
11.5567,-31.5943,0.0373128,-2.41053e-14,29
11.5597,-31.5939,0.0363951,-2.41042e-14,30
11.5628,-31.5935,0.0354775,-2.41031e-14,31
11.5658,-31.5931,0.0345598,-2.4102e-14,32
11.5688,-31.5926,0.0336422,-2.41009e-14,33
11.5719,-31.5922,0.0327245,-2.40998e-14,34
11.5749,-31.5918,0.0318069,-2.40986e-14,35
11.578,-31.5914,0.0308892,-2.40975e-14,36
11.581,-31.591,0.0299716,-2.40964e-14,37
11.584,-31.5906,0.0290539,-2.40953e-14,38
11.5871,-31.5901,0.0281363,-2.40942e-14,39
11.5901,-31.5897,0.0272187,-2.40931e-14,40
11.5931,-31.5893,0.026301,-2.40919e-14,41
11.5962,-31.5889,0.0253834,-2.40908e-14,42
11.5992,-31.5885,0.0244657,-2.40897e-14,43
11.6022,-31.5881,0.0235481,-2.40886e-14,44
11.6053,-31.5876,0.0226304,-2.40875e-14,45
11.6083,-31.5872,0.0217128,-2.40863e-14,46
11.6114,-31.5868,0.0207951,-2.40852e-14,47
11.6144,-31.5864,0.0198775,-2.40841e-14,48
11.6174,-31.586,0.0189598,-2.4083e-14,49
11.6205,-31.5856,0.0180422,-2.40818e-14,50
11.6235,-31.5851,0.0171245,-2.40807e-14,51
