Px,Py,Pz,E,t
28.8737,-7.90647,-0.502674,-2.53148e-10,0
28.8745,-7.90342,-0.502755,-2.53148e-10,1
28.8753,-7.90038,-0.502836,-2.53148e-10,2
28.8762,-7.89734,-0.502917,-2.53149e-10,3
28.877,-7.89429,-0.502998,-2.53149e-10,4
28.8778,-7.89125,-0.503079,-2.53149e-10,5
28.8786,-7.8882,-0.503161,-2.53149e-10,6
28.8794,-7.88516,-0.503242,-2.5315e-10,7
28.8802,-7.88212,-0.503323,-2.5315e-10,8
28.881,-7.87907,-0.503404,-2.5315e-10,9
28.8819,-7.87603,-0.503485,-2.5315e-10,10
28.8827,-7.87299,-0.503566,-2.5315e-10,11
28.8835,-7.86994,-0.503647,-2.53151e-10,12
28.8843,-7.8669,-0.503729,-2.53151e-10,13
28.8851,-7.86386,-0.50381,-2.53151e-10,14
28.8859,-7.86081,-0.503891,-2.53151e-10,15
28.8868,-7.85777,-0.503972,-2.53152e-10,16
28.8876,-7.85472,-0.504053,-2.53152e-10,17
28.8884,-7.85168,-0.504134,-2.53152e-10,18
28.8892,-7.84864,-0.504215,-2.53152e-10,19
28.89,-7.84559,-0.504297,-2.53152e-10,20
28.8908,-7.84255,-0.504378,-2.53152e-10,21
28.8916,-7.83951,-0.504459,-2.53153e-10,22
28.8925,-7.83646,-0.50454,-2.53153e-10,23
28.8933,-7.83342,-0.504621,-2.53153e-10,24
28.8941,-7.83038,-0.504702,-2.53153e-10,25
28.8949,-7.82733,-0.504784,-2.53153e-10,26
28.8957,-7.82429,-0.504865,-2.53153e-10,27
28.8965,-7.82124,-0.504946,-2.53153e-10,28
28.8974,-7.8182,-0.505027,-2.53154e-10,29
28.8982,-7.81516,-0.505108,-2.53154e-10,30
28.899,-7.81211,-0.505189,-2.53154e-10,31
28.8998,-7.80907,-0.50527,-2.53154e-10,32
28.9006,-7.80603,-0.505352,-2.53154e-10,33
28.9014,-7.80298,-0.505433,-2.53154e-10,34
28.9022,-7.79994,-0.505514,-2.53154e-10,35
28.9031,-7.7969,-0.505595,-2.53154e-10,36
28.9039,-7.79385,-0.505676,-2.53154e-10,37
28.9047,-7.79081,-0.505757,-2.53154e-10,38
28.9055,-7.78776,-0.505838,-2.53154e-10,39
28.9063,-7.78472,-0.50592,-2.53154e-10,40
28.9071,-7.78168,-0.506001,-2.53155e-10,41
28.9079,-7.77863,-0.506082,-2.53155e-10,42
28.9088,-7.77559,-0.506163,-2.53155e-10,43
28.9096,-7.77255,-0.506244,-2.53155e-10,44
28.9104,-7.7695,-0.506325,-2.53155e-10,45
28.9112,-7.76646,-0.506407,-2.53155e-10,46
28.912,-7.76342,-0.506488,-2.53155e-10,47
28.9128,-7.76037,-0.506569,-2.53155e-10,48
28.9137,-7.75733,-0.50665,-2.53155e-10,49
28.9145,-7.75429,-0.506731,-2.53155e-10,50
28.9153,-7.75124,-0.506812,-2.53155e-10,51
28.9161,-7.7482,-0.506893,-2.53155e-10,52
28.9169,-7.74515,-0.506975,-2.53155e-10,53
28.9177,-7.74211,-0.507056,-2.53155e-10,54
28.9185,-7.73907,-0.507137,-2.53155e-10,55
28.9194,-7.73602,-0.507218,-2.53155e-10,56
28.9202,-7.73298,-0.507299,-2.53155e-10,57
28.921,-7.72994,-0.50738,-2.53155e-10,58
28.9218,-7.72689,-0.507461,-2.53155e-10,59
28.9226,-7.72385,-0.507543,-2.53154e-10,60
28.9234,-7.72081,-0.507624,-2.53154e-10,61
28.9243,-7.71776,-0.507705,-2.53154e-10,62
28.9251,-7.71472,-0.507786,-2.53154e-10,63
28.9259,-7.71167,-0.507867,-2.53154e-10,64
28.9267,-7.70863,-0.507948,-2.53154e-10,65
28.9275,-7.70559,-0.50803,-2.53154e-10,66
28.9283,-7.70254,-0.508111,-2.53154e-10,67
28.9291,-7.6995,-0.508192,-2.53154e-10,68
28.93,-7.69646,-0.508273,-2.53154e-10,69
28.9308,-7.69341,-0.508354,-2.53154e-10,70
28.9316,-7.69037,-0.508435,-2.53154e-10,71
28.9324,-7.68733,-0.508516,-2.53153e-10,72
28.9332,-7.68428,-0.508598,-2.53153e-10,73
28.934,-7.68124,-0.508679,-2.53153e-10,74
28.9348,-7.67819,-0.50876,-2.53153e-10,75
28.9357,-7.67515,-0.508841,-2.53153e-10,76
28.9365,-7.67211,-0.508922,-2.53153e-10,77
28.9373,-7.66906,-0.509003,-2.53153e-10,78
28.9381,-7.66602,-0.509085,-2.53152e-10,79
28.9389,-7.66298,-0.509166,-2.53152e-10,80
28.9397,-7.65993,-0.509247,-2.53152e-10,81
28.9406,-7.65689,-0.509328,-2.53152e-10,82
28.9414,-7.65385,-0.509409,-2.53152e-10,83
28.9422,-7.6508,-0.50949,-2.53152e-10,84
28.943,-7.64776,-0.509571,-2.53151e-10,85
28.9438,-7.64471,-0.509653,-2.53151e-10,86
28.9446,-7.64167,-0.509734,-2.53151e-10,87
28.9454,-7.63863,-0.509815,-2.53151e-10,88
28.9463,-7.63558,-0.509896,-2.5315e-10,89
28.9471,-7.63254,-0.509977,-2.5315e-10,90
28.9479,-7.6295,-0.510058,-2.5315e-10,91
28.9487,-7.62645,-0.510139,-2.5315e-10,92
28.9495,-7.62341,-0.510221,-2.5315e-10,93
28.9503,-7.62037,-0.510302,-2.53149e-10,94
28.9512,-7.61732,-0.510383,-2.53149e-10,95
28.952,-7.61428,-0.510464,-2.53149e-10,96
28.9528,-7.61123,-0.510545,-2.53149e-10,97
28.9536,-7.60819,-0.510626,-2.53148e-10,98
28.9544,-7.60515,-0.510708,-2.53148e-10,99
28.9552,-7.6021,-0.510789,-2.53148e-10,100
28.956,-7.59906,-0.51087,-2.53147e-10,101
28.9569,-7.59602,-0.510951,-2.53147e-10,102
28.9577,-7.59297,-0.511032,-2.53147e-10,103
28.9585,-7.58993,-0.511113,-2.53147e-10,104
28.9593,-7.58689,-0.511194,-2.53146e-10,105
28.9601,-7.58384,-0.511276,-2.53146e-10,106
28.9609,-7.5808,-0.511357,-2.53146e-10,107
28.9617,-7.57775,-0.511438,-2.53145e-10,108
28.9626,-7.57471,-0.511519,-2.53145e-10,109
28.9634,-7.57167,-0.5116,-2.53145e-10,110
28.9642,-7.56862,-0.511681,-2.53144e-10,111
28.965,-7.56558,-0.511762,-2.53144e-10,112
28.9658,-7.56254,-0.511844,-2.53144e-10,113
28.9666,-7.55949,-0.511925,-2.53143e-10,114
28.9675,-7.55645,-0.512006,-2.53143e-10,115
28.9683,-7.55341,-0.512087,-2.53143e-10,116
28.9691,-7.55036,-0.512168,-2.53142e-10,117
28.9699,-7.54732,-0.512249,-2.53142e-10,118
28.9707,-7.54427,-0.512331,-2.53141e-10,119
28.9715,-7.54123,-0.512412,-2.53141e-10,120
28.9723,-7.53819,-0.512493,-2.53141e-10,121
28.9732,-7.53514,-0.512574,-2.5314e-10,122
28.974,-7.5321,-0.512655,-2.5314e-10,123
28.9748,-7.52906,-0.512736,-2.53139e-10,124
28.9756,-7.52601,-0.512817,-2.53139e-10,125
28.9764,-7.52297,-0.512899,-2.53139e-10,126
28.9772,-7.51993,-0.51298,-2.53138e-10,127
28.9781,-7.51688,-0.513061,-2.53138e-10,128
28.9789,-7.51384,-0.513142,-2.53137e-10,129
28.9797,-7.5108,-0.513223,-2.53137e-10,130
28.9805,-7.50775,-0.513304,-2.53136e-10,131
28.9813,-7.50471,-0.513385,-2.53136e-10,132
28.9821,-7.50166,-0.513467,-2.53135e-10,133
28.9829,-7.49862,-0.513548,-2.53135e-10,134
28.9838,-7.49558,-0.513629,-2.53134e-10,135
28.9846,-7.49253,-0.51371,-2.53134e-10,136
28.9854,-7.48949,-0.513791,-2.53133e-10,137
28.9862,-7.48645,-0.513872,-2.53133e-10,138
28.987,-7.4834,-0.513954,-2.53132e-10,139
28.9878,-7.48036,-0.514035,-2.53132e-10,140
28.9886,-7.47732,-0.514116,-2.53131e-10,141
28.9895,-7.47427,-0.514197,-2.53131e-10,142
28.9903,-7.47123,-0.514278,-2.5313e-10,143
28.9911,-7.46818,-0.514359,-2.5313e-10,144
28.9919,-7.46514,-0.51444,-2.53129e-10,145
28.9927,-7.4621,-0.514522,-2.53129e-10,146
28.9935,-7.45905,-0.514603,-2.53128e-10,147
28.9944,-7.45601,-0.514684,-2.53128e-10,148
28.9952,-7.45297,-0.514765,-2.53127e-10,149
28.996,-7.44992,-0.514846,-2.53127e-10,150
28.9968,-7.44688,-0.514927,-2.53126e-10,151
28.9976,-7.44384,-0.515008,-2.53125e-10,152
28.9984,-7.44079,-0.51509,-2.53125e-10,153
28.9992,-7.43775,-0.515171,-2.53124e-10,154
29.0001,-7.4347,-0.515252,-2.53124e-10,155
29.0009,-7.43166,-0.515333,-2.53123e-10,156
29.0017,-7.42862,-0.515414,-2.53123e-10,157
29.0025,-7.42557,-0.515495,-2.53122e-10,158
29.0033,-7.42253,-0.515577,-2.53121e-10,159
29.0041,-7.41949,-0.515658,-2.53121e-10,160
29.005,-7.41644,-0.515739,-2.5312e-10,161
29.0058,-7.4134,-0.51582,-2.53119e-10,162
29.0066,-7.41036,-0.515901,-2.53119e-10,163
29.0074,-7.40731,-0.515982,-2.53118e-10,164
29.0082,-7.40427,-0.516063,-2.53118e-10,165
29.009,-7.40122,-0.516145,-2.53117e-10,166
29.0098,-7.39818,-0.516226,-2.53116e-10,167
29.0107,-7.39514,-0.516307,-2.53116e-10,168
29.0115,-7.39209,-0.516388,-2.53115e-10,169
29.0123,-7.38905,-0.516469,-2.53114e-10,170
29.0131,-7.38601,-0.51655,-2.53114e-10,171
29.0139,-7.38296,-0.516632,-2.53113e-10,172
29.0147,-7.37992,-0.516713,-2.53112e-10,173
29.0155,-7.37688,-0.516794,-2.53111e-10,174
29.0164,-7.37383,-0.516875,-2.53111e-10,175
29.0172,-7.37079,-0.516956,-2.5311e-10,176
29.018,-7.36774,-0.517037,-2.53109e-10,177
29.0188,-7.3647,-0.517118,-2.53109e-10,178
29.0196,-7.36166,-0.5172,-2.53108e-10,179
29.0204,-7.35861,-0.517281,-2.53107e-10,180
29.0213,-7.35557,-0.517362,-2.53106e-10,181
29.0221,-7.35253,-0.517443,-2.53106e-10,182
29.0229,-7.34948,-0.517524,-2.53105e-10,183
29.0237,-7.34644,-0.517605,-2.53104e-10,184
29.0245,-7.3434,-0.517686,-2.53103e-10,185
29.0253,-7.34035,-0.517768,-2.53103e-10,186
29.0261,-7.33731,-0.517849,-2.53102e-10,187
29.027,-7.33426,-0.51793,-2.53101e-10,188
29.0278,-7.33122,-0.518011,-2.531e-10,189
29.0286,-7.32818,-0.518092,-2.531e-10,190
29.0294,-7.32513,-0.518173,-2.53099e-10,191
29.0302,-7.32209,-0.518255,-2.53098e-10,192
29.031,-7.31905,-0.518336,-2.53097e-10,193
29.0319,-7.316,-0.518417,-2.53096e-10,194
29.0327,-7.31296,-0.518498,-2.53096e-10,195
29.0335,-7.30992,-0.518579,-2.53095e-10,196
29.0343,-7.30687,-0.51866,-2.53094e-10,197
29.0351,-7.30383,-0.518741,-2.53093e-10,198
29.0359,-7.30078,-0.518823,-2.53092e-10,199
29.0367,-7.29774,-0.518904,-2.53091e-10,200
29.0376,-7.2947,-0.518985,-2.53091e-10,201
29.0384,-7.29165,-0.519066,-2.5309e-10,202
29.0392,-7.28861,-0.519147,-2.53089e-10,203
29.04,-7.28557,-0.519228,-2.53088e-10,204
29.0408,-7.28252,-0.519309,-2.53087e-10,205
29.0416,-7.27948,-0.519391,-2.53086e-10,206
29.0424,-7.27644,-0.519472,-2.53085e-10,207
29.0433,-7.27339,-0.519553,-2.53084e-10,208
29.0441,-7.27035,-0.519634,-2.53084e-10,209
29.0449,-7.26731,-0.519715,-2.53083e-10,210
29.0457,-7.26426,-0.519796,-2.53082e-10,211
29.0465,-7.26122,-0.519878,-2.53081e-10,212
29.0473,-7.25817,-0.519959,-2.5308e-10,213
29.0482,-7.25513,-0.52004,-2.53079e-10,214
29.049,-7.25209,-0.520121,-2.53078e-10,215
29.0498,-7.24904,-0.520202,-2.53077e-10,216
29.0506,-7.246,-0.520283,-2.53076e-10,217
29.0514,-7.24296,-0.520364,-2.53075e-10,218
29.0522,-7.23991,-0.520446,-2.53074e-10,219
29.053,-7.23687,-0.520527,-2.53073e-10,220
29.0539,-7.23383,-0.520608,-2.53072e-10,221
29.0547,-7.23078,-0.520689,-2.53071e-10,222
29.0555,-7.22774,-0.52077,-2.5307e-10,223
29.0563,-7.22469,-0.520851,-2.53069e-10,224
29.0571,-7.22165,-0.520932,-2.53068e-10,225
29.0579,-7.21861,-0.521014,-2.53067e-10,226
29.0588,-7.21556,-0.521095,-2.53066e-10,227
29.0596,-7.21252,-0.521176,-2.53065e-10,228
29.0604,-7.20948,-0.521257,-2.53064e-10,229
29.0612,-7.20643,-0.521338,-2.53063e-10,230
29.062,-7.20339,-0.521419,-2.53062e-10,231
29.0628,-7.20035,-0.521501,-2.53061e-10,232
29.0636,-7.1973,-0.521582,-2.5306e-10,233
29.0645,-7.19426,-0.521663,-2.53059e-10,234
29.0653,-7.19121,-0.521744,-2.53058e-10,235
29.0661,-7.18817,-0.521825,-2.53057e-10,236
29.0669,-7.18513,-0.521906,-2.53056e-10,237
29.0677,-7.18208,-0.521987,-2.53055e-10,238
29.0685,-7.17904,-0.522069,-2.53054e-10,239
29.0693,-7.176,-0.52215,-2.53053e-10,240
29.0702,-7.17295,-0.522231,-2.53052e-10,241
29.071,-7.16991,-0.522312,-2.53051e-10,242
29.0718,-7.16687,-0.522393,-2.5305e-10,243
29.0726,-7.16382,-0.522474,-2.53049e-10,244
29.0734,-7.16078,-0.522555,-2.53048e-10,245
