Px,Py,Pz,E,t
-3.02672,-4.45525,0.0862286,-2.71224e-08,0
-3.02056,-4.45915,0.0861072,-2.71247e-08,1
-3.01441,-4.46304,0.0859858,-2.71269e-08,2
-3.00826,-4.46694,0.0858643,-2.71291e-08,3
-3.00211,-4.47084,0.0857429,-2.71311e-08,4
-2.99596,-4.47473,0.0856214,-2.71331e-08,5
-2.98981,-4.47863,0.0855,-2.71349e-08,6
-2.98366,-4.48252,0.0853786,-2.71367e-08,7
-2.97751,-4.48642,0.0852571,-2.71384e-08,8
-2.97136,-4.49032,0.0851357,-2.71399e-08,9
-2.96521,-4.49421,0.0850142,-2.71414e-08,10
-2.95906,-4.49811,0.0848928,-2.71428e-08,11
-2.95291,-4.50201,0.0847714,-2.71441e-08,12
-2.94676,-4.5059,0.0846499,-2.71452e-08,13
-2.94061,-4.5098,0.0845285,-2.71463e-08,14
-2.93445,-4.5137,0.084407,-2.71473e-08,15
-2.9283,-4.51759,0.0842856,-2.71482e-08,16
-2.92215,-4.52149,0.0841642,-2.7149e-08,17
-2.916,-4.52539,0.0840427,-2.71498e-08,18
-2.90985,-4.52928,0.0839213,-2.71504e-08,19
-2.9037,-4.53318,0.0837998,-2.71509e-08,20
-2.89755,-4.53708,0.0836784,-2.71513e-08,21
-2.8914,-4.54097,0.083557,-2.71516e-08,22
-2.88525,-4.54487,0.0834355,-2.71519e-08,23
-2.8791,-4.54877,0.0833141,-2.7152e-08,24
-2.87295,-4.55266,0.0831926,-2.7152e-08,25
-2.8668,-4.55656,0.0830712,-2.7152e-08,26
-2.86064,-4.56045,0.0829497,-2.71518e-08,27
-2.85449,-4.56435,0.0828283,-2.71516e-08,28
-2.84834,-4.56825,0.0827069,-2.71512e-08,29
-2.84219,-4.57214,0.0825854,-2.71508e-08,30
-2.83604,-4.57604,0.082464,-2.71503e-08,31
-2.82989,-4.57994,0.0823425,-2.71496e-08,32
-2.82374,-4.58383,0.0822211,-2.71489e-08,33
-2.81759,-4.58773,0.0820996,-2.71481e-08,34
-2.81144,-4.59163,0.0819782,-2.71472e-08,35
-2.80529,-4.59552,0.0818568,-2.71461e-08,36
-2.79914,-4.59942,0.0817353,-2.7145e-08,37
-2.79299,-4.60331,0.0816139,-2.71438e-08,38
-2.78683,-4.60721,0.0814924,-2.71425e-08,39
-2.78068,-4.61111,0.081371,-2.71411e-08,40
-2.77453,-4.615,0.0812495,-2.71396e-08,41
-2.76838,-4.6189,0.0811281,-2.71381e-08,42
-2.76223,-4.6228,0.0810066,-2.71364e-08,43
-2.75608,-4.62669,0.0808852,-2.71346e-08,44
-2.74993,-4.63059,0.0807638,-2.71327e-08,45
-2.74378,-4.63448,0.0806423,-2.71307e-08,46
-2.73763,-4.63838,0.0805209,-2.71287e-08,47
-2.73148,-4.64228,0.0803994,-2.71265e-08,48
-2.72532,-4.64617,0.080278,-2.71243e-08,49
-2.71917,-4.65007,0.0801565,-2.71219e-08,50
-2.71302,-4.65397,0.0800351,-2.71195e-08,51
-2.70687,-4.65786,0.0799136,-2.71169e-08,52
-2.70072,-4.66176,0.0797922,-2.71143e-08,53
-2.69457,-4.66565,0.0796707,-2.71115e-08,54
-2.68842,-4.66955,0.0795493,-2.71087e-08,55
-2.68227,-4.67345,0.0794278,-2.71058e-08,56
-2.67612,-4.67734,0.0793064,-2.71028e-08,57
