Px,Py,Pz,E,t
0.361038,-0.0825256,-0.0399481,-6.31394e-11,0
0.363875,-0.0543801,-0.0379086,-6.4793e-11,1
0.366712,-0.0262346,-0.035869,-6.57275e-11,2
0.36955,0.00191094,-0.0338294,-6.58952e-11,3
0.372387,0.0300565,-0.0317898,-6.52874e-11,4
0.375224,0.058202,-0.0297503,-6.39354e-11,5
0.378062,0.0863475,-0.0277107,-6.19065e-11,6
0.380899,0.114493,-0.0256711,-5.9295e-11,7
0.383736,0.142639,-0.0236315,-5.62108e-11,8
0.386574,0.170784,-0.021592,-5.27686e-11,9
0.389411,0.19893,-0.0195524,-4.90784e-11,10
0.392248,0.227075,-0.0175128,-4.52392e-11,11
0.395086,0.255221,-0.0154732,-4.1335e-11,12
0.397923,0.283366,-0.0134337,-3.74343e-11,13
0.40076,0.311512,-0.0113941,-3.35899e-11,14
0.403598,0.339657,-0.00935452,-2.98412e-11,15
0.406435,0.367803,-0.00731495,-2.62157e-11,16
0.409272,0.395948,-0.00527537,-2.27315e-11,17
0.41211,0.424094,-0.0032358,-1.93992e-11,18
0.414947,0.452239,-0.00119622,-1.62238e-11,19
0.417784,0.480385,0.000843354,-1.32059e-11,20
0.420621,0.50853,0.00288293,-1.03433e-11,21
0.423459,0.536676,0.0049225,-7.6315e-12,22
0.426296,0.564821,0.00696208,-5.06473e-12,23
0.429133,0.592967,0.00900165,-2.63632e-12,24
0.431971,0.621112,0.0110412,-3.39144e-13,25
0.434808,0.649258,0.0130808,1.83408e-12,26
0.437645,0.677403,0.0151204,3.89061e-12,27
0.440483,0.705549,0.01716,5.83755e-12,28
0.44332,0.733695,0.0191995,7.68173e-12,29
0.446157,0.76184,0.0212391,9.42967e-12,30
0.448995,0.789986,0.0232787,1.10875e-11,31
0.451832,0.818131,0.0253183,1.26611e-11,32
0.454669,0.846277,0.0273578,1.41559e-11,33
0.457507,0.874422,0.0293974,1.5577e-11,34
0.460344,0.902568,0.031437,1.69291e-11,35
0.463181,0.930713,0.0334766,1.82165e-11,36
