Px,Py,Pz,E,t
1.24626,-9.98623,0.123975,-4.41427e-09,0
1.25149,-9.98556,0.123755,-4.41428e-09,1
1.25673,-9.9849,0.123535,-4.41429e-09,2
1.26197,-9.98423,0.123316,-4.4143e-09,3
1.2672,-9.98356,0.123096,-4.41431e-09,4
1.27244,-9.9829,0.122877,-4.41432e-09,5
1.27768,-9.98223,0.122657,-4.41432e-09,6
1.28291,-9.98156,0.122437,-4.41432e-09,7
1.28815,-9.9809,0.122218,-4.41432e-09,8
1.29339,-9.98023,0.121998,-4.41431e-09,9
1.29862,-9.97956,0.121778,-4.41431e-09,10
1.30386,-9.9789,0.121559,-4.4143e-09,11
1.30909,-9.97823,0.121339,-4.41429e-09,12
1.31433,-9.97756,0.12112,-4.41428e-09,13
1.31957,-9.97689,0.1209,-4.41426e-09,14
1.3248,-9.97623,0.12068,-4.41424e-09,15
1.33004,-9.97556,0.120461,-4.41422e-09,16
1.33528,-9.97489,0.120241,-4.4142e-09,17
1.34051,-9.97423,0.120021,-4.41417e-09,18
1.34575,-9.97356,0.119802,-4.41415e-09,19
1.35098,-9.97289,0.119582,-4.41412e-09,20
1.35622,-9.97223,0.119362,-4.41409e-09,21
1.36146,-9.97156,0.119143,-4.41405e-09,22
1.36669,-9.97089,0.118923,-4.41402e-09,23
1.37193,-9.97022,0.118704,-4.41398e-09,24
1.37717,-9.96956,0.118484,-4.41394e-09,25
1.3824,-9.96889,0.118264,-4.41389e-09,26
1.38764,-9.96822,0.118045,-4.41385e-09,27
1.39288,-9.96756,0.117825,-4.4138e-09,28
1.39811,-9.96689,0.117605,-4.41375e-09,29
1.40335,-9.96622,0.117386,-4.4137e-09,30
1.40858,-9.96556,0.117166,-4.41364e-09,31
1.41382,-9.96489,0.116947,-4.41359e-09,32
1.41906,-9.96422,0.116727,-4.41353e-09,33
1.42429,-9.96356,0.116507,-4.41346e-09,34
1.42953,-9.96289,0.116288,-4.4134e-09,35
1.43477,-9.96222,0.116068,-4.41333e-09,36
1.44,-9.96155,0.115848,-4.41326e-09,37
1.44524,-9.96089,0.115629,-4.41319e-09,38
1.45047,-9.96022,0.115409,-4.41312e-09,39
1.45571,-9.95955,0.11519,-4.41304e-09,40
1.46095,-9.95889,0.11497,-4.41297e-09,41
1.46618,-9.95822,0.11475,-4.41289e-09,42
1.47142,-9.95755,0.114531,-4.4128e-09,43
1.47666,-9.95689,0.114311,-4.41272e-09,44
1.48189,-9.95622,0.114091,-4.41263e-09,45
1.48713,-9.95555,0.113872,-4.41254e-09,46
1.49236,-9.95488,0.113652,-4.41245e-09,47
1.4976,-9.95422,0.113432,-4.41236e-09,48
1.50284,-9.95355,0.113213,-4.41226e-09,49
1.50807,-9.95288,0.112993,-4.41216e-09,50
1.51331,-9.95222,0.112774,-4.41206e-09,51
1.51855,-9.95155,0.112554,-4.41196e-09,52
1.52378,-9.95088,0.112334,-4.41185e-09,53
1.52902,-9.95022,0.112115,-4.41174e-09,54
1.53426,-9.94955,0.111895,-4.41163e-09,55
1.53949,-9.94888,0.111675,-4.41152e-09,56
1.54473,-9.94821,0.111456,-4.41141e-09,57
1.54996,-9.94755,0.111236,-4.41129e-09,58
1.5552,-9.94688,0.111017,-4.41117e-09,59
1.56044,-9.94621,0.110797,-4.41105e-09,60
1.56567,-9.94555,0.110577,-4.41092e-09,61
1.57091,-9.94488,0.110358,-4.4108e-09,62
1.57615,-9.94421,0.110138,-4.41067e-09,63
1.58138,-9.94355,0.109918,-4.41054e-09,64
1.58662,-9.94288,0.109699,-4.4104e-09,65
1.59185,-9.94221,0.109479,-4.41027e-09,66
1.59709,-9.94154,0.109259,-4.41013e-09,67
1.60233,-9.94088,0.10904,-4.40999e-09,68
1.60756,-9.94021,0.10882,-4.40985e-09,69
1.6128,-9.93954,0.108601,-4.4097e-09,70
1.61804,-9.93888,0.108381,-4.40955e-09,71
1.62327,-9.93821,0.108161,-4.4094e-09,72
1.62851,-9.93754,0.107942,-4.40925e-09,73
1.63374,-9.93688,0.107722,-4.4091e-09,74
1.63898,-9.93621,0.107502,-4.40894e-09,75
1.64422,-9.93554,0.107283,-4.40878e-09,76
1.64945,-9.93487,0.107063,-4.40862e-09,77
1.65469,-9.93421,0.106844,-4.40846e-09,78
1.65993,-9.93354,0.106624,-4.40829e-09,79
1.66516,-9.93287,0.106404,-4.40813e-09,80
1.6704,-9.93221,0.106185,-4.40796e-09,81
1.67564,-9.93154,0.105965,-4.40778e-09,82
1.68087,-9.93087,0.105745,-4.40761e-09,83
1.68611,-9.93021,0.105526,-4.40743e-09,84
1.69134,-9.92954,0.105306,-4.40725e-09,85
1.69658,-9.92887,0.105087,-4.40707e-09,86
