Px,Py,Pz,E,t
0.136768,-0.714646,-0.0176957,-5.00647e-10,0
0.156595,-0.711464,-0.0187962,-5.00167e-10,1
0.176422,-0.708283,-0.0198967,-4.9893e-10,2
0.196248,-0.705102,-0.0209971,-4.96944e-10,3
0.216075,-0.701921,-0.0220976,-4.94223e-10,4
0.235902,-0.698739,-0.0231981,-4.90785e-10,5
0.255729,-0.695558,-0.0242986,-4.86652e-10,6
0.275555,-0.692377,-0.0253991,-4.81852e-10,7
0.295382,-0.689195,-0.0264996,-4.76414e-10,8
0.315209,-0.686014,-0.0276001,-4.70372e-10,9
0.335036,-0.682833,-0.0287006,-4.63761e-10,10
0.354862,-0.679652,-0.0298011,-4.56619e-10,11
0.374689,-0.67647,-0.0309016,-4.48985e-10,12
0.394516,-0.673289,-0.0320021,-4.409e-10,13
0.414342,-0.670108,-0.0331026,-4.32403e-10,14
0.434169,-0.666927,-0.0342031,-4.23536e-10,15
0.453996,-0.663745,-0.0353036,-4.14338e-10,16
0.473823,-0.660564,-0.0364041,-4.04849e-10,17
0.493649,-0.657383,-0.0375046,-3.95107e-10,18
0.513476,-0.654201,-0.038605,-3.85148e-10,19
0.533303,-0.65102,-0.0397055,-3.75009e-10,20
0.55313,-0.647839,-0.040806,-3.64721e-10,21
0.572956,-0.644658,-0.0419065,-3.54318e-10,22
0.592783,-0.641476,-0.043007,-3.43828e-10,23
0.61261,-0.638295,-0.0441075,-3.33279e-10,24
0.632436,-0.635114,-0.045208,-3.22697e-10,25
0.652263,-0.631932,-0.0463085,-3.12105e-10,26
0.67209,-0.628751,-0.047409,-3.01524e-10,27
0.691917,-0.62557,-0.0485095,-2.90974e-10,28
0.711743,-0.622389,-0.04961,-2.80473e-10,29
0.73157,-0.619207,-0.0507105,-2.70036e-10,30
0.751397,-0.616026,-0.051811,-2.59678e-10,31
0.771223,-0.612845,-0.0529115,-2.49412e-10,32
0.79105,-0.609663,-0.0540119,-2.39249e-10,33
0.810877,-0.606482,-0.0551124,-2.29197e-10,34
0.830704,-0.603301,-0.0562129,-2.19267e-10,35
0.85053,-0.60012,-0.0573134,-2.09465e-10,36
0.870357,-0.596938,-0.0584139,-1.99796e-10,37
0.890184,-0.593757,-0.0595144,-1.90267e-10,38
0.91001,-0.590576,-0.0606149,-1.80882e-10,39
0.929837,-0.587394,-0.0617154,-1.71644e-10,40
0.949664,-0.584213,-0.0628159,-1.62555e-10,41
0.969491,-0.581032,-0.0639164,-1.53617e-10,42
0.989317,-0.57785,-0.0650169,-1.44833e-10,43
1.00914,-0.574669,-0.0661174,-1.36202e-10,44
1.02897,-0.571488,-0.0672179,-1.27725e-10,45
1.0488,-0.568307,-0.0683183,-1.19402e-10,46
1.06862,-0.565125,-0.0694188,-1.11232e-10,47
1.08845,-0.561944,-0.0705193,-1.03214e-10,48
1.10828,-0.558763,-0.0716198,-9.53481e-11,49
1.1281,-0.555581,-0.0727203,-8.76318e-11,50
1.14793,-0.5524,-0.0738208,-8.00639e-11,51
1.16776,-0.549219,-0.0749213,-7.26424e-11,52
1.18758,-0.546038,-0.0760218,-6.53653e-11,53
1.20741,-0.542856,-0.0771223,-5.82307e-11,54
1.22724,-0.539675,-0.0782228,-5.12361e-11,55
1.24706,-0.536494,-0.0793233,-4.43794e-11,56
1.26689,-0.533312,-0.0804238,-3.76581e-11,57
1.28672,-0.530131,-0.0815242,-3.10697e-11,58
1.30654,-0.52695,-0.0826247,-2.46118e-11,59
1.32637,-0.523768,-0.0837252,-1.82818e-11,60
1.3462,-0.520587,-0.0848257,-1.20771e-11,61
1.36602,-0.517406,-0.0859262,-5.99529e-12,62
1.38585,-0.514225,-0.0870267,-3.36452e-14,63
1.40568,-0.511043,-0.0881272,5.81033e-12,64
1.4255,-0.507862,-0.0892277,1.15392e-11,65
1.44533,-0.504681,-0.0903282,1.71555e-11,66
1.46516,-0.501499,-0.0914287,2.26617e-11,67
1.48498,-0.498318,-0.0925292,2.80603e-11,68
1.50481,-0.495137,-0.0936297,3.33537e-11,69
1.52464,-0.491955,-0.0947301,3.85444e-11,70
1.54447,-0.488774,-0.0958306,4.36347e-11,71
1.56429,-0.485593,-0.0969311,4.86269e-11,72
1.58412,-0.482412,-0.0980316,5.35234e-11,73
1.60395,-0.47923,-0.0991321,5.83264e-11,74
1.62377,-0.476049,-0.100233,6.3038e-11,75
1.6436,-0.472868,-0.101333,6.76605e-11,76
1.66343,-0.469686,-0.102434,7.21959e-11,77
1.68325,-0.466505,-0.103534,7.66464e-11,78
1.70308,-0.463324,-0.104635,8.10138e-11,79
1.72291,-0.460142,-0.105735,8.53003e-11,80
1.74273,-0.456961,-0.106836,8.95077e-11,81
1.76256,-0.45378,-0.107936,9.36378e-11,82
1.78239,-0.450599,-0.109037,9.76926e-11,83
1.80221,-0.447417,-0.110137,1.01674e-10,84
1.82204,-0.444236,-0.111238,1.05583e-10,85
1.84187,-0.441055,-0.112338,1.09423e-10,86
1.86169,-0.437873,-0.113439,1.13193e-10,87
1.88152,-0.434692,-0.114539,1.16897e-10,88
1.90135,-0.431511,-0.115639,1.20536e-10,89
1.92117,-0.42833,-0.11674,1.24111e-10,90
1.941,-0.425148,-0.11784,1.27623e-10,91
1.96083,-0.421967,-0.118941,1.31075e-10,92
1.98065,-0.418786,-0.120041,1.34467e-10,93
2.00048,-0.415604,-0.121142,1.37802e-10,94
2.02031,-0.412423,-0.122242,1.41079e-10,95
2.04013,-0.409242,-0.123343,1.44302e-10,96
2.05996,-0.40606,-0.124443,1.4747e-10,97
2.07979,-0.402879,-0.125544,1.50585e-10,98
2.09961,-0.399698,-0.126644,1.53649e-10,99
2.11944,-0.396517,-0.127745,1.56662e-10,100
2.13927,-0.393335,-0.128845,1.59626e-10,101
2.15909,-0.390154,-0.129946,1.62541e-10,102
2.17892,-0.386973,-0.131046,1.6541e-10,103
2.19875,-0.383791,-0.132147,1.68232e-10,104
2.21857,-0.38061,-0.133247,1.71009e-10,105
2.2384,-0.377429,-0.134348,1.73742e-10,106
2.25823,-0.374247,-0.135448,1.76432e-10,107
2.27805,-0.371066,-0.136549,1.7908e-10,108
2.29788,-0.367885,-0.137649,1.81686e-10,109
2.31771,-0.364704,-0.13875,1.84253e-10,110
2.33753,-0.361522,-0.13985,1.86779e-10,111
2.35736,-0.358341,-0.140951,1.89267e-10,112
2.37719,-0.35516,-0.142051,1.91718e-10,113
2.39701,-0.351978,-0.143152,1.94131e-10,114
2.41684,-0.348797,-0.144252,1.96508e-10,115
2.43667,-0.345616,-0.145353,1.98849e-10,116
2.45649,-0.342434,-0.146453,2.01156e-10,117
2.47632,-0.339253,-0.147554,2.03429e-10,118
2.49615,-0.336072,-0.148654,2.05669e-10,119
2.51597,-0.332891,-0.149755,2.07876e-10,120
2.5358,-0.329709,-0.150855,2.10051e-10,121
2.55563,-0.326528,-0.151956,2.12194e-10,122
2.57545,-0.323347,-0.153056,2.14308e-10,123
2.59528,-0.320165,-0.154157,2.16391e-10,124
2.61511,-0.316984,-0.155257,2.18444e-10,125
2.63493,-0.313803,-0.156358,2.20469e-10,126
2.65476,-0.310621,-0.157458,2.22466e-10,127
2.67459,-0.30744,-0.158559,2.24435e-10,128
2.69441,-0.304259,-0.159659,2.26377e-10,129
2.71424,-0.301078,-0.16076,2.28292e-10,130
2.73407,-0.297896,-0.16186,2.30181e-10,131
2.75389,-0.294715,-0.162961,2.32044e-10,132
2.77372,-0.291534,-0.164061,2.33883e-10,133
2.79355,-0.288352,-0.165162,2.35697e-10,134
2.81337,-0.285171,-0.166262,2.37486e-10,135
2.8332,-0.28199,-0.167363,2.39252e-10,136
2.85303,-0.278808,-0.168463,2.40995e-10,137
2.87285,-0.275627,-0.169564,2.42715e-10,138
2.89268,-0.272446,-0.170664,2.44413e-10,139
2.91251,-0.269265,-0.171765,2.46088e-10,140
2.93233,-0.266083,-0.172865,2.47743e-10,141
2.95216,-0.262902,-0.173966,2.49376e-10,142
2.97199,-0.259721,-0.175066,2.50988e-10,143
2.99181,-0.256539,-0.176166,2.5258e-10,144
3.01164,-0.253358,-0.177267,2.54152e-10,145
3.03147,-0.250177,-0.178367,2.55704e-10,146
3.05129,-0.246995,-0.179468,2.57237e-10,147
3.07112,-0.243814,-0.180568,2.58751e-10,148
3.09095,-0.240633,-0.181669,2.60246e-10,149
3.11077,-0.237451,-0.182769,2.61724e-10,150
3.1306,-0.23427,-0.18387,2.63183e-10,151
3.15043,-0.231089,-0.18497,2.64624e-10,152
3.17025,-0.227908,-0.186071,2.66049e-10,153
3.19008,-0.224726,-0.187171,2.67456e-10,154
3.20991,-0.221545,-0.188272,2.68846e-10,155
3.22973,-0.218364,-0.189372,2.7022e-10,156
3.24956,-0.215182,-0.190473,2.71578e-10,157
3.26939,-0.212001,-0.191573,2.7292e-10,158
3.28921,-0.20882,-0.192674,2.74247e-10,159
3.30904,-0.205638,-0.193774,2.75558e-10,160
3.32887,-0.202457,-0.194875,2.76854e-10,161
3.34869,-0.199276,-0.195975,2.78135e-10,162
3.36852,-0.196095,-0.197076,2.79401e-10,163
3.38835,-0.192913,-0.198176,2.80654e-10,164
3.40817,-0.189732,-0.199277,2.81892e-10,165
3.428,-0.186551,-0.200377,2.83116e-10,166
3.44783,-0.183369,-0.201478,2.84326e-10,167
3.46765,-0.180188,-0.202578,2.85523e-10,168
3.48748,-0.177007,-0.203679,2.86707e-10,169
3.50731,-0.173825,-0.204779,2.87878e-10,170
3.52713,-0.170644,-0.20588,2.89036e-10,171
3.54696,-0.167463,-0.20698,2.90181e-10,172
3.56679,-0.164282,-0.208081,2.91314e-10,173
3.58661,-0.1611,-0.209181,2.92435e-10,174
